IntergenicSpaces	cdis	distance	Overlap	perc	sample
Codirectional-	<=250	54861	20414	37.2104044767686	Top2
Codirectional-	>500	500962	269204	53.7374092246518	Top2
Codirectional-	251-500	221788	106268	47.9142243944668	Top2
Codirectional+	<=250	48520	16860	34.7485572959604	Top2
Codirectional+	>500	610253	273196	44.7676619369344	Top2
Codirectional+	251-500	236084	114660	48.5674590400027	Top2
Convergent	<=250	120531	21081	17.4901062797123	Top2
Convergent	>500	426304	113416	26.6044888154932	Top2
Convergent	251-500	158975	42147	26.5117156785658	Top2
Divergent	<=250	54380	20361	37.4420742920191	Top2
Divergent	>500	782173	452106	57.801279256635	Top2
Divergent	251-500	173253	78655	45.3989252711353	Top2
Codirectional-	<=250	54861	7703	14.0409398297516	Hmo1
Codirectional-	>500	500962	182279	36.385793732858	Hmo1
Codirectional-	251-500	221788	39439	17.7822966075712	Hmo1
Codirectional+	<=250	48520	5240	10.7996702390767	Hmo1
Codirectional+	>500	610253	246375	40.3725995611656	Hmo1
Codirectional+	251-500	236084	37545	15.9032378306027	Hmo1
Convergent	<=250	120531	24723	20.5117355701023	Hmo1
Convergent	>500	426304	204868	48.0567857679027	Hmo1
Convergent	251-500	158975	47686	29.9959113068092	Hmo1
Divergent	<=250	54380	7122	13.0967267377712	Hmo1
Divergent	>500	782173	286375	36.6127442394457	Hmo1
Divergent	251-500	173253	23051	13.3048201185549	Hmo1
